"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT11"
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-01-01","0.09","0.0","0.0","51","33","36",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-01-02","0.62","0.0","0.0","51","36","50","    1",,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-01-03","0.00","0.0","0.0","50","35","38",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-01-04","0.22","0.0","0.0","40","38","40",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-01-05","0.00","0.0","0.0","43","35","37",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-01-06","0.00","0.0","0.0","39","32","34",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-01-07","0.00","0.0","0.0","41","32","35",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-01-08","0.00","0.0","0.0","43","28","32",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-01-09","0.00","0.0","0.0","37","27","32",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-01-10","0.01","0.0","0.0","34","31","32",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-01-11","0.00","0.0","0.0","40","20","30",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-01-12","0.00","0.0","0.0","43","27","33",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-01-13","0.00","0.0","0.0","42","29","36",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-01-14","0.00","0.0","0.0","45","32","43",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-01-15","0.00","0.0","0.0","48","38","40",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-01-16","0.31","0.0","0.0","50","35","50",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-01-17","0.40","0.0","0.0","52","36","40",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-01-18","0.00","0.0","0.0","44","37","44",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-01-19","0.00","0.0","0.0","47","29","35",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-01-20","0.00","0.0","0.0","42","30","36",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-01-21","0.00","0.0","0.0","37","19","27",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-01-22","0.00","0.0","0.0","41","25","41",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-01-23","0.00","0.0","0.0","46","30","32",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-01-24","0.00","0.0","0.0","34","19","23",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-01-25","0.00","0.0","0.0","31","21","26",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-01-26","0.00","0.0","0.0","36","24","33",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-01-27","0.34","2.5","2.0","41","31","35",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-01-28","0.01","0.0","0.0","38","33","34",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-01-29","0.14","0.0","0.0","34","12","13",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-01-30","0.00","0.0","0.0","20","11","14",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-01-31","0.00","0.0","0.0","22","12","21",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-02-01","0.00","0.0","0.0","34","20","33",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-02-02","1.44","0.0","0.0","40","33","40",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-02-03","0.00","0.0","0.0","41","31","33",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-02-04","0.00","0.0","0.0","39","31","32",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-02-05","0.00","0.0","0.0","41","27","39",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-02-06","0.00","0.0","0.0","45","33","36",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-02-07","0.00","0.0","0.0","46","28","38",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-02-08","1.21","4.5","4.0","39","22","25",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-02-09","0.00","0.0","4.0","29","16","28",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-02-10","0.16","0.0","3.0","35","24","28",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-02-11","0.04","0.6","3.0","33","21","26",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-02-12","0.00","0.0","3.0","35","17","21",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-02-13","0.00","0.0","3.0","29","20","25",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-02-14","0.03","0.0","3.0","35","25","34",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-02-15","0.00","0.0","2.0","42","34","35",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-02-16","0.27","0.0","0.0","49","35","49",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-02-17","0.00","0.0","0.0","53","26","30",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-02-18","0.00","0.0","0.0","34","22","31",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-02-19","0.63","4.5","4.0","33","28","32",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-02-20","0.35","1.0","6.0","35","28","29",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-02-21","0.00","0.0","6.0","36","22","26",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-02-22","0.00","0.0","5.0","35","15","35",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-02-23","0.61","0.0","2.0","43","32","40",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-02-24","0.00","0.0","0.0","46","36","45",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-02-25","0.00","0.0","0.0","53","39","46",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-02-26","0.00","0.0","0.0","50","25","36",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-02-27","0.00","0.0","0.0","44","30","40",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-02-28","0.28","0.0","0.0","48","33","38",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-03-01","0.53","0.0","0.0","46","37","46",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-03-02","0.06","0.0","0.0","48","17","20",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-03-03","0.00","0.0","0.0","38","20","38",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-03-04","0.00","0.0","0.0","47","29","41",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-03-05","0.00","0.0","0.0","44","23","29",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-03-06","0.00","0.0","0.0","36","24","30",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-03-07","0.00","0.0","0.0","37","21","26",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-03-08","0.00","0.0","0.0","34","18","31",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-03-09","0.00","0.0","0.0","45","25","45",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-03-10","0.00","0.0","0.0","60","28","45",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-03-11","0.00","0.0","0.0","52","35","52",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-03-12","0.00","0.0","0.0","56","43","48",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-03-13","0.00","0.0","0.0","64","32","37",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-03-14","0.00","0.0","0.0","48","34","43",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-03-15","0.00","0.0","0.0","50","17","20",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-03-16","0.00","0.0","0.0","29","20","24",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-03-17","0.00","0.0","0.0","35","24","35",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-03-18","0.00","0.0","0.0","45","34","41",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-03-19","1.84","0.0","0.0","48","31","32",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-03-20","0.00","0.0","0.0","36","27","36",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-03-21","0.00","0.0","0.0","46","27","41",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-03-22","0.00","0.0","0.0","58","27","44",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-03-23","0.00","0.0","0.0","56","36","45",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-03-24","0.00","0.0","0.0","58","32","45",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-03-25","0.01","0.0","0.0","57","43","54",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-03-26","0.00","0.0","0.0","61","45","53",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-03-27","0.00","0.0","0.0","58","45","52",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-03-28","0.00","0.0","0.0","58","40","45",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-03-29","0.67","0.0","0.0","53","43","47",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-03-30","0.00","0.0","0.0","51","28","43",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-03-31","0.00","0.0","0.0","55","43","55",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-01","0.83","0.0","0.0","55","48","49",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-02","0.01","0.0","0.0","50","31","35",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-03","0.00","0.0","0.0","44","30","37",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-04","0.00","0.0","0.0","47","28","45",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-05","0.00","0.0","0.0","56","42","43",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-06","0.00","0.0","0.0","53","35","46",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-07","0.00","0.0","0.0","56","38","40",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-08","0.00","0.0","0.0","58","39","50",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-09","0.00","0.0","0.0","58","38","47","    1",,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-10","0.00","0.0","0.0","61","41","47","    1",,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-11","0.01","0.0","0.0","58","46","53","    1",,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-12","0.00","0.0","0.0","53","44","52",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-13","0.00","0.0","0.0","52","41","50",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-14","0.00","0.0","0.0","51","36","50",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-15","0.00","0.0","0.0","55","42","49",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-16","1.59","0.0","0.0","52","43","44",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-17","0.52","0.0","0.0","45","35","42",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-18","0.04","0.0","0.0","47","40","44",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-19","0.00","0.0","0.0","57","42","57",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-20","0.00","0.0","0.0","63","42","56",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-21","0.00","0.0","0.0","61","49","58",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-22","0.06","0.0","0.0","62","34","40",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-23","0.00","0.0","0.0","48","38","43",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-24","0.00","0.0","0.0","60","41","58",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-25","0.17","0.0","0.0","67","45","46",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-26","0.41","0.0","0.0","49","41","49",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-27","0.00","0.0","0.0","56","36","53",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-28","0.00","0.0","0.0","60","46","54",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-29","0.00","0.0","0.0","64","48","52","    1",,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-30","0.48","0.0","0.0","57","50","56",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-01","0.03","0.0","0.0","66","41","51",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-02","0.00","0.0","0.0","63","43","55",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-03","0.00","0.0","0.0","63","49","60",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-04","0.46","0.0","0.0","65","50","53",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-05","0.09","0.0","0.0","53","47","49",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-06","0.09","0.0","0.0","56","48","56",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-07","0.00","0.0","0.0","65","40","55",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-08","0.00","0.0","0.0","61","46","51",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-09","0.00","0.0","0.0","60","45","59",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-10","0.99","0.0","0.0","61","44","49",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-11","0.00","0.0","0.0","59","46","56",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-12","0.00","0.0","0.0","63","46","53",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-13","0.00","0.0","0.0","65","41","60",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-14","0.00","0.0","0.0","67","46","67",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-15","0.00","0.0","0.0","75","51","67",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-16","0.00","0.0","0.0","76","51","70",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-17","0.00","0.0","0.0","77","48","70",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-18","0.00","0.0","0.0","73","51","63",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-19","0.00","0.0","0.0","75","60","69",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-20","0.00","0.0","0.0","73","47","61",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-21","0.00","0.0","0.0","67","46","59",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-22","0.00","0.0","0.0","66","53","57",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-23","0.00","0.0","0.0","78","57","77",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-24","0.34","0.0","0.0","85","54","60",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-25","0.00","0.0","0.0","64","49","60",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-26","0.00","0.0","0.0","64","57","61","    1",,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-27","0.01","0.0","0.0","69","60","68",,,
